ToLID,Species,NCBI Species,Common name,Assembly version,Pipeline version,Curated,Required purging? (HiC asm only),Total bp,Genome size¹,Heterozygosity¹,Sequencing depth,Repeat content¹,Sex (metadata),Heterogametic,Mitogenome?,Assembler,Instance,Bionano,Draft assembly folder,,Curated assembly folder,Notes,% assigned to chr,# scaffolds,Total scaffold length,Average scaffold length,Scaffold N50,Scaffold auN,Scaffold L50,Scaffold NG50,Scaffold auNG,Scaffold LG50,Largest scaffold,Smallest scaffold,# contigs,Total contig length,Average contig length,Contig N50,Contig auN,Contig L50,Contig NG50,Contig auNG,Contig LG50,Largest contig,Smallest contig,# gaps in scaffolds,Total gap length in scaffolds,Average gap length in scaffolds,Gap N50 in scaffolds,Gap auN in scaffolds,Gap L50 in scaffolds,Largest gap in scaffolds,Smallest gap in scaffolds,Base composition (A:C:G:T),GC content %
mEubGla1,Eubalaena glacialis,Eubalaena glacialis,North Atlantic right whale,hap2,vgp_hic_2.0,20230118,N,"87,213,455,139","2,661,810,066",0.22,32,30.40,M,,N,Nadolina Brajuka,EU,Y,,,,,94.26,1040,2832143268,2723214.68,84364878,75238756.09,13,86797429,80053396.47,12,152092871,12339,1137,2827335551,2486662.75,37467374,40638304.59,25,39169611,43165410.18,23,101487703,12339,97,4807717,49564.09,3661394,2811235.68,1,3661394,13,824397704:589639147:588962827:824335873,41.69
mHipAmp2,Hippopotamus amphibius,Hippopotamus amphibius,East African river hippopotamus,hap1,vgp_hic_2.0,NA,N,"93,930,421,870","2,552,797,209",0.001,35,23.00,F,N,,Linelle Abueg,RU,N,,,,,,782,2540479818,3248695.42,129786975,135992641.8,8,184162729,272281999,3,239233223,16237,865,2540463218,2936951.7,46144666,50781421.3,18,77761737,101672975.7,7,106005245,16237,83,16600,200,200,200,42,200,200,741962207:529052194:528484333:740964484,41.63
mHipAmp2,Hippopotamus amphibius,Hippopotamus amphibius,East African river hippopotamus,hap2,vgp_hic_2.0,NA,N,"93,930,421,870","2,552,797,209",0.001,35,23.00,F,N,,Linelle Abueg,RU,N,,,,,98.78,603,2541290427,4214411.99,136530490,137369753.3,8,168269428,275126985.4,4,230968736,16404,687,2541273627,3699088.25,50348260,50410415.37,18,72137584,100962355.9,8,105926430,16404,84,16800,200,200,200,42,200,200,742425397:528275641:528895257:741677332,41.6
mLoxAfr1,Loxodonta africana,Loxodonta africana,African elephant,hap1,vgp_hic_2.0,NA,N,"165,189,822,887","3,396,034,559",0.32,45,26.80,M,Y,Y,Linelle Abueg,RU,Y,,,,,,1085,3575781129,3295650.81,116142568,202992457.8,9,123319788,213736517.5,8,652380084,10569,1254,3570553984,2847331.73,75907863,73522555.39,18,80861584,77300819.09,16,201848595,10569,169,5227145,30929.85,3567147,2614588.26,1,3567147,13,1048193392:740786954:735345693:1046227945,41.34
mLoxAfr1,Loxodonta africana,Loxodonta africana,African elephant,hap2,vgp_hic_2.0,NA,N,"165,189,822,887","3,396,034,559",0.32,45,26.80,M,Y,Y,Linelle Abueg,RU,Y,,,,,,916,3400233806,3712045.64,109346701,204975690.7,9,109346701,205229146.2,9,640046356,12354,1073,3396590156,3165508.07,82653632,84735738.94,15,82653632,84749601.85,15,229222375,12354,157,3643650,23207.96,298901,499946.93,3,1137416,13,995635858:701101368:700957192:998895738,41.28
mMacEug1,Macropus eugenii,Macropus eugenii,Tammar wallaby,20211109,vgp_standard_2.0,20220429,-,"110,894,429,038","3,312,892,930",0.33,33,25.04,M,Y,Y,Nadolina Brajuka,EU,Y,s3://genomeark/species/Macropus_eugenii/mMacEug1/assembly_vgp_standard_2.0/,,s3://genomeark/species/Macropus eugenii/mMacEug1/assembly_curated/,,99.49,367,3452607417,9407649.64,488036699,463296569.7,3,488036699,482835155,3,761923987,19801,829,3442455936,4152540.33,15255043,21206081.5,60,16260088,22035424.3,56,64234404,19801,465,10151481,21831.14,281496,595884.3,9,2034351,13,1054821920:666157855:667079094:1054397067,38.73
mManPen7,Manis pentadactyla,Manis pentadactyla,Chinese pangolin,hap1,vgp_hic_2.0,NA,N,"85,447,148,021","2,728,549,055",0.21,30,32.20,M,Y,Y,Linelle Abueg,RU,Y,,,,,96.27,822,2684541180,3265865.18,132345885,136761427.1,8,132345885,134555646.8,8,233859920,7494,1004,2653079199,2642509.16,29345960,44041279.73,23,28762677,42823127.16,24,152504290,7494,182,31461981,172868.03,5351360,8925820.53,2,15364680,13,780927302:546754499:545298752:780098646,41.16
mManPen7,Manis pentadactyla,Manis pentadactyla,Chinese pangolin,hap2,vgp_hic_2.0,NA,N,"85,447,148,021","2,728,549,055",0.21,30,32.20,M,Y,Y,Linelle Abueg,RU,Y,,,,,,701,2869320694,4093182.16,139388172,134795594.6,8,139388172,141749985.5,8,235399238,7494,891,2854447362,3203644.63,31222426,50307653.62,24,31370214,52628905.06,22,184691834,7494,190,14873332,78280.69,2226822,3745356.85,2,6947363,13,839216583:584682550:588190629:842357600,41.09
mMesDen1,Mesoplodon densirostris,Mesoplodon densirostris,Blainville's beak whale,20220215,vgp_standard_2.0,20220330,-,"113,142,275,102","3,125,258,145",0.29,36,42.40,M,Y,Y,Nadolina Brajuka,EU,Y,s3://genomeark/species/Mesoplodon_densirostris/mMesDen1/assembly_vgp_standard_2.0/,,s3://genomeark/species/Mesoplodon densirostris/mMesDen1/assembly_curated/,,95.77,109,2684606852,24629420.7,88733150,82520219.35,12,78672390,70885135.3,15,157045825,49122,169,2683913556,15881145.3,51515489,59238868.7,17,45032744,50873238.4,22,131637648,15449,60,693296,11554.93,126210,180214.62,2,315505,13,782599381:556643465:562665472:782005238,41.7
mMonDom1,Monodelphis domestica,Monodelphis domestica,Gray short-tailed opossum,20220212,vgp_standard_2.0,20220505,-,"149,756,776,051","3,216,945,970",0.81,47,30.80,M,Y,Y,Nadolina Brajuka,EU,Y,s3://genomeark/species/Monodelphis_domestica/mMonDom1/assembly_vgp_standard_2.0/,,s3://genomeark/species/Monodelphis domestica/mMonDom1/assembly_curated/,,100,25,3656127112,146245084,518588076,463461903.2,3,518588076,526734252,3,773771121,135151,2300,3622741557,1575105.02,3824134,5363178.85,252,4536150,6039706.94,203,23709148,39281,2277,33385555,14662.08,70347,203068.71,103,1593800,13,1124013302:686787219:686951040:1124989996,37.92
mNeoNeb1,Neofelis nebulosa,Neofelis nebulosa,Clouded leopard,20220405,vgp_standard_2.0,20220520,-,"87,269,323,005","2,395,992,815",0.36,36,19.90,M,Y,Y,Brian O'Toole,EU,Y,s3://genomeark/species/Neofelis_nebulosa/mNeoNeb1/assembly_vgp_standard_2.0/,,s3://genomeark/species/Neofelis nebulosa/mNeoNeb1/assembly_curated/,,99.97,73,2468371783,33813312.1,134974491,126520913.1,8,149006193,130342900,7,222427791,17537,215,2467013931,11474483.4,51579577,56951515.5,16,54293935,58639650.9,15,151393616,17537,142,1357852,9562.34,95575,177922.94,3,327273,13,718211486:515536495:515478698:717787252,41.79
mSorAra2,Sorex araneus,Sorex araneus,Common shrew,20211103,vgp_standard_2.0,20220707,-,"97,795,396,094","2,230,886,386",1.14,44,27.03,M,Y,Y,Linelle Abueg,EU,Y,s3://genomeark/species/Sorex_araneus/mSorAra1/assembly_vgp_standard_2.0/,cannot be downloaded from GA,s3://genomeark/species/Sorex araneus/mSorAra2/assembly_curated/,ToLID changed to mSorAra2,99.95,233,2459336321,10555091.5,231235302,262901541.2,4,338227856,289823504,3,441239200,9918,1498,2400503717,1602472.44,4024507,4882416.54,182,4325180,5253633.32,161,19703282,9918,1270,58832604,46324.89,3821131,4923700.93,4,11775418,13,681465998:518787509:518921251:681328959,43.23
rCanAsp1,Candoia aspera,Candoia aspera,Viper boa,hap1,vgp_hic_2.0,NA,N,"55,711,532,509","1,472,456,021",0.49,37,31.20,F,,Y,Nivesh Jain,RU,N,,,,,,180,1529331567,8496286.48,209784440,191245541.5,3,209784440,198632651.5,3,338859053,12162,279,1529311767,5481404.18,49525232,57089993.75,10,51781456,59294401.99,9,143842484,12162,99,19800,200,200,200,50,200,200,450718528:314102637:313922193:450568409,41.07
rCanAsp1,Candoia aspera,Candoia aspera,Viper boa,hap2,vgp_hic_2.0,NA,N,"55,711,532,509","1,472,456,021",0.49,37,31.20,F,,Y,Nivesh Jain,RU,N,,,,,99.44,158,1532354644,9698447.11,209252319,200378968.2,3,209252319,208530263.7,3,343993754,1000,252,1532335844,6080697.79,55640180,65545760.58,9,57569195,68211285.72,8,165641000,1000,94,18800,200,200,200,47,200,200,451366748:314726987:314695853:451546256,41.08
rEmyOrb1,Emys orbicularis,Emys orbicularis,European pond turtle,hap1,vgp_hic_2.0,20220902,N,"73,751,150,160","2,271,648,625",0.28,32,27.60,F,,N,Marcella Sozzoni,EU,Y,,,s3://genomeark/species/Emys orbicularis/rEmyOrb1/assembly_curated/,,99.72,159,2324111602,14617054.1,137743343,174681242.5,5,137743343,178715448,5,373279322,16962,273,2307114440,8450968.64,91255289,85580933.9,9,91255289,86917054.9,9,176114710,16962,118,16997162,144043.75,6486791,5293540.75,2,6860094,13,637438667:516370535:515846062:637459176,44.74
rEryReg1,Erythrolamprus reginae,Erythrolamprus reginae,Royal ground snake,hap2,vgp_hic_2.0,20230105,N,"66,016,904,742","1,908,066,061","3.74,0.422",33*,38.40,F,,N,Linelle Abueg,RU,Y,s3://genomeark/species/Erythrolamprus_reginae/rEryReg1/assembly_vgp_hic_2.0/,,,local galaxy,99.06,451,1964224387,4355264.72,255449344,230962436.3,3,255449344,237760137.9,3,426055773,1000,1791,1963956387,1096569.73,3064756,4309604.72,172,3202651,4435839.98,163,16736476,1000,1340,268000,200,200,200,670,200,200,576873112:405029245:405123850:576930180,41.25
rEulEur1,Euleptes europaea,Euleptes europaea,European leaf-tailed gecko,hap2,vgp_hic_2.0,20221012,N,"66,247,435,620","1,589,842,322",0.92,40,27.10,M,,Y,Linelle Abueg,RU,Y,s3://genomeark/species/Euleptes_europaea/rEulEur1/assembly_vgp_hic_2.0/,,,local galaxy,98.85,381,1776124469,4661744.01,101915064,100725873.4,7,109232959,112527944.4,6,182244296,1000,558,1769873724,3171816.71,31964801,32803486.23,19,33587463,36518104.68,16,74178130,1000,178,6250745,35116.54,104694,178536.37,16,604054,13,489924296:394912075:395101650:489935703,44.64
rGavGan2,Gavialis gangeticus,Gavialis gangeticus,Gharial,hap1,vgp_hic_2.0,NA,N,"83,193,504,531","2,301,125,167",0.12,35,22.80,M,,N,Nivesh Jain,RU,N,,,,,99.5,298,2339480201,7850604.7,255848931,246168215.8,4,255848931,250271334.7,4,472073442,6016,358,2338356309,6531721.53,73461180,74146237.79,12,73461180,75345889.66,12,144500683,6016,60,1123892,18731.53,244214,195242.27,2,342617,13,641823785:527224403:527990868:641317253,45.13
rGavGan2,Gavialis gangeticus,Gavialis gangeticus,Gharial,hap2,vgp_hic_2.0,NA,N,"83,193,504,531","2,301,125,167",0.12,35,22.80,M,,N,Nivesh Jain,RU,N,,,,,,220,2328688234,10584946.52,298315767,280070585.8,4,298315767,283425294.3,4,469885158,1000,278,2327430916,8372053.65,84235120,84785280.41,10,84235120,85754519.43,10,170598524,341,58,1257318,21677.9,113240,146397.69,4,316809,13,637739563:524950690:525771112:638969551,45.15
rLiaOli1,Liasis olivaceus,Liasis olivaceus,Olive python,hap2,vgp_hic_2.0,NA,N,"55,386,649,575","1,447,634,414",0.19,37,17.70,F,,N,Nivesh Jain,RU,Y,,,,,,73,1478585907,20254601.47,203536677,183671432,3,203536677,187598462.9,3,331930525,13805,156,1473521595,9445651.25,74672673,75963783.04,7,74672673,77322197.97,7,203536677,13805,83,5064312,61015.81,177463,401301.84,6,1168382,13,440925564:296091492:295636162:440868377,40.16
rAllMis2,Alligator mississippiensis,Alligator mississippiensis,American alligator,hap1,vgp_hic_2.0,NA,N,"89,553,363,447","2,287,458,573",0.21,37,22.30,not determined,-,N,Linelle Abueg,RU,Y,,,,,,684,2373582313,3470150,256319922,253641884,4,256319922,263191603,4,481293216,14790,820,2369106609,2889154,43841264,51144970.31,17,44132760,52970527.47,16,130564019,14790,136,4475704,32909.6,272943,358551,5,941998,13,651107472:533136088:533878904:650984145,45.04
rAllMis2,Alligator mississippiensis,Alligator mississippiensis,American alligator,hap2,vgp_hic_2.0,NA,N,"89,553,363,447","2,287,458,573",0.21,37,22.30,not determined,-,N,Linelle Abueg,RU,Y,,,,,99.33,213,2386911093,11206155.37,292743531,274803028,4,292743531,286750721.4,4,480898043,17193,369,2330659908,6316152,38819917,51696922.54,17,38819917,52673279.48,17,130487753,17193,156,56251185,360585,37665478,25617520.42,1,37665478,13,640841499:524456081:524508162:640854166,45.01
rVipLat1,Vipera latastei,Vipera latastei,Snub-nosed viper,20220328,vgp_standard_2.0,NA,-,"77,208,840,137","1,444,460,287",0.52,53,35.00,M,,,Marc Palmada,EU,Y,,,s3://genomeark/species/Vipera latastei/rVipLat1/assembly_curated/,Curated version is from local assembly,,247,1668425830,6754760.45,175701946,183914143,4,203435730,212430282,3,356567196,17203,855,1628838211,1905073.93,44839567,51051996.8,11,46203777,57568521.6,9,136351795,11223,615,39587619,64370.11,299260,404419.23,37,1602880,13,480815010:333630275:333566151:480826775,40.96
sHypSab1,Hypanus sabinus,Urogymnus asperrimus,Atlantic stingray,hap1,vgp_hic_2.0,NA,N,"140,832,464,058","3,472,076,753",0.44,39,43.50,M,,Y,Linelle Abueg,RU,N,s3://genomeark/species/Hypanus_sabinus/sHypSab1/assembly_vgp_hic_2.0/,,,local galaxy,89.83,3061,4044854243,1321415.96,109776683,114500866.9,12,153447554,133389711.8,10,211094511,1000,4635,4044539443,872608.29,4266932,6729829.39,234,5354043,7839417.83,174,38231957,1000,1574,314800,200,200,200,787,200,200,1144866025:876487072:876965968:1146220378,43.35
sHypSab1,Hypanus sabinus,Urogymnus asperrimus,Atlantic stingray,hap2,vgp_hic_2.0,NA,N,"140,832,464,058","3,472,076,753",0.44,39,43.50,M,,Y,Linelle Abueg,RU,N,s3://genomeark/species/Hypanus_sabinus/sHypSab1/assembly_vgp_hic_2.0/,,,local galaxy,,1474,3635145945,2466177.71,158616492,124957006.5,10,158616492,130825724.1,10,209438534,1000,3044,3634831945,1194097.22,4909400,7712165.36,184,5177429,8073676.65,168,35073727,1000,1570,314000,200,200,200,785,200,200,1036885990:780444522:780379468:1037121965,42.94
sMobGio1,Mobula giorna,Mobula japanica,Atlantic manta ray,hap1,vgp_hic_2.0,NA,N,"114,305,803,178","3,415,083,420",0.36,33,43.70,F,,N,Linelle Abueg,RU,Y,s3://genomeark/species/Mobula_giorna/sMobGio1/assembly_vgp_hic_2.0/,,,local galaxy,90.53,5098,4019182567,788384.18,63851323,83756145.58,18,74030820,98571893.79,13,236659973,10335,6526,3983784333,610448.1,7300797,11707129.43,118,11133045,13656673.37,87,52880397,135,1455,35398234,24328.68,127193,244634,68,1667116,13,1130429202:862588318:860944614:1129822199,43.26
sMobGio1,Mobula giorna,Mobula japanica,Atlantic manta ray,hap2,vgp_hic_2.0,NA,N,"114,305,803,178","3,415,083,420",0.36,33,43.70,F,,N,Linelle Abueg,RU,Y,s3://genomeark/species/Mobula_giorna/sMobGio1/assembly_vgp_hic_2.0/,,,local galaxy,96.19,1893,3647388942,1926777.04,65921733,86048511.45,16,73868846,91901822.16,14,240800274,11733,3303,3580853934,1084121.69,8612779,12913434.3,100,9776081,13540261.34,91,47651024,1296,1469,66535008,45292.72,188903,402321.26,87,2559643,13,1023242337:767188871:767078382:1023344344,42.85
aAnoBae1,Anomaloglossus baeobatrachus,Anomaloglossus baeobatrachus,Edward's rocket frog,hap1,vgp_hic_2.0,,,,"5,952,913,470",1.18,22,70.1,,,,Linelle Abueg,RU,,,,,,,"3,700","6,263,188,133","1,692,753.55","545,785,518","542,837,458.31",4,"545,785,518","571,130,950.28",4,"1,018,412,367","2,321","7,393","6,262,449,533","847,078.25","2,796,703","3,513,657.39",647,"2,977,001","3,696,358.47",594,"17,470,778","2,321","3,693","738,600",200.00,200,200.00,"1,847",200,200.00,"1,683,051,740:1,447,630,169:1,449,652,433:1,682,115,191",46
aAnoBae1,Anomaloglossus baeobatrachus,Anomaloglossus baeobatrachus,Edward's rocket frog,hap2,vgp_hic_2.0,,,,"5,952,913,470",1.18,22,70.1,,,,Linelle Abueg,RU,,,,,,,"2,497","6,130,921,400","2,455,314.94","714,842,015","804,025,343.53",3,"714,842,015","828,067,837.64",3,"1,385,986,348","4,837","6,077","6,130,205,400","1,008,755.21","2,877,667","3,862,648.22",588,"3,004,192","3,977,687.08",558,"19,010,593","4,837","3,580","716,000",200,200,200,"1,790",200,200,"1,644,512,894:1,421,353,150:1,421,057,731:1,643,281,625",46.37
aAscTru1,Ascaphus truei,Ascaphus truei,tailed frog,hap1,vgp_hic_2.0,,,,"3,154,787,903",1.14,35,58.3,,,,Linelle Abueg,RU,,,,,,89.41,"3,674","3,749,426,209","1,020,529.72","437,138,773","299,688,102.11",4,"437,138,773","356,175,584.26",4,"501,836,406","6,931","9,609","3,748,239,209","390,075.89","988,180","1,403,169.40","1,002","1,226,762","1,667,121.45",732,"6,913,250","6,931","5,935","1,187,000",200,200,200,"2,968",200,200,"1,031,597,765:840,191,784:843,552,768:1,032,896,892",44.92
aAscTru1,Ascaphus truei,Ascaphus truei,tailed frog,hap2,vgp_hic_2.0,,,,"3,154,787,903",1.14,35,58.3,,,,Linelle Abueg,RU,,,,,,90.65,"2,884","3,635,767,445","1,260,668.32","330,894,140","388,735,046.14",3,"330,894,140","448,001,662.53",3,"917,151,757","9,276","8,762","3,634,591,845","414,813.04","971,565","1,343,545.52","1,008","1,168,207","1,547,882.05",783,"6,693,742","9,276","5,878","1,175,600",200,200,200,"2,939",200,200,"1,001,852,816:814,233,883:817,245,032:1,001,260,114",44.89
aLepFus1,Leptodactylus fuscus,Leptodactylus fuscus,rufous frog,hap1,vgp_hic_2.0,,,,"1,877,856,926",0.504,44,43.7,,,,Linelle Abueg,RU,,,,,,91.87,2405,2323058933,965928.87,232442307,220899643.2,4,239967850,273270493.8,3,377137179,11583,3298,2308776182,700053.42,5457355,7298786.23,116,6944665,8973667.57,81,30858090,11583,893,14282751,15994.12,304884,513314.39,11,1611650,13,659465744:496365761:494691396:658253281,42.93
aLepFus1,Leptodactylus fuscus,Leptodactylus fuscus,rufous frog,hap2,vgp_hic_2.0,,,,"1,877,856,926",0.504,44,43.7,,,,Linelle Abueg,RU,,,,,,94.34,1330,2196345138,1651387.32,282621990,309666278.2,3,282621990,362186285.4,3,573892843,11319,2267,2168879036,956717.7,5541474,7251184.49,105,6535720,8374941.57,81,29677041,11319,937,27466102,29312.81,360235,888560.77,18,3870970,13,617905750:465756587:466644421:618572278,42.99
aMixFle1,Mixophyes fleayi,Mixophyes fleayi,Fleay's barred frog,hap1,vgp_hic_2.0,,,,"2,763,016,815",0.946,26,41.6,,,,Linelle Abueg,RU,,,,,,93.6,"2,822","2,976,060,568","1,054,592.69","346,520,350","274,403,576.68",4,"346,520,350","295,561,597.69",4,"462,960,912","10,329","4,223","2,972,260,163","703,826.70","4,050,021","5,295,522.22",202,"4,432,802","5,696,552.28",177,"23,175,378","10,329","1,401","3,800,405","2,712.64","45,788","74,660.87",19,"219,021",13,"887,196,776:599,028,483:599,432,039:886,602,865",40.32
aMixFle1,Mixophyes fleayi,Mixophyes fleayi,Fleay's barred frog,hap2,vgp_hic_2.0,,,,"2,763,016,815",0.946,26,41.6,,,,Linelle Abueg,RU,,,,,,97,931,"2,871,973,373","3,084,826.39","332,082,691","281,300,402.49",4,"332,082,691","292,393,177.41",4,"463,825,151","9,994","2,286","2,868,667,646","1,254,885.23","4,482,390","5,882,135.23",178,"4,742,109","6,107,053.33",166,"21,875,188","9,994","1,355","3,305,727","2,439.65","43,802","64,419.07",20,"223,861",13,"849,887,060:584,297,946:584,761,598:849,721,042",40.75
aRhiDor1,Rhinophrynus dorsalis,Rhinophrynus dorsalis,Mexican burrowing toad,hap1,vgp_hic_2.0,,,,"4,227,365,397",0.786,25,49.2,,,,Linelle Abueg,RU,,,,,,98.76,500,"4,742,627,115","9,485,254.23","692,463,724","1,049,029,522.01",2,"692,463,724","1,176,892,789.79",2,"1,841,351,811","14,628","2,519","4,742,223,315","1,882,581.71","12,994,863","18,757,982.63",92,"16,024,195","21,042,548.78",74,"94,607,629","14,628","2,019","403,800",200,200,200,"1,010",200,200,"1,376,530,315:994,627,487:994,073,230:1,376,992,283",41.94
aRhiDor1,Rhinophrynus dorsalis,Rhinophrynus dorsalis,Mexican burrowing toad,hap2,vgp_hic_2.0,,,,"4,227,365,397",0.786,25,49.2,,,,Linelle Abueg,RU,,,,,,98.56,716,"4,542,366,990","6,344,087.97","594,342,128","820,446,461.78",3,"686,357,248","881,581,925.17",2,"1,557,821,911","6,091","2,645","4,541,981,190","1,717,195.16","12,716,842","19,426,239.64",92,"14,163,721","20,872,010.52",80,"104,591,874","6,091","1,929","385,800",200,200,200,965,200,200,"1,319,747,089:950,293,262:951,086,202:1,320,854,637",41.86
bAmaOch1,Amazona ochrocephala,Amazona ochrocephala,yellow-crowned amazon,hap1,vgp_hic_2.0,,,,"1,234,991,152",0.7,40,22.1,,,,Linelle Abueg,RU,,,,,,,"1,684","1,209,103,888","717,995.18","86,165,597","75,330,170.38",6,"86,165,597","73,751,137.20",6,"137,840,351","11,173","1,803","1,209,080,088","670,593.50","17,616,512","20,538,045.06",22,"17,616,512","20,107,141.08",22,"66,277,070","11,173",119,"23,800",200,200,200,60,200,200,"341,486,847:262,944,445:263,057,973:341,590,823",43.5
bAmaOch1,Amazona ochrocephala,Amazona ochrocephala,yellow-crowned amazon,hap2,vgp_hic_2.0,,,,"1,234,991,152",0.7,40,22.1,,,,Linelle Abueg,RU,,,,,,,"2,508","1,510,116,837","602,119.95","71,335,859","65,347,172.78",8,"85,983,822","79,904,917.30",6,"137,845,383","12,656","2,669","1,510,084,637","565,786.68","12,751,415","14,162,855.51",35,"17,632,997","17,317,622.47",25,"47,479,061","12,656",161,"32,200",200,200,200,81,200,200,"421,499,146:332,977,713:333,754,218:421,853,560",44.15
bCalNic1,Caloenas nicobarica,Caloenas nicobarica,Nicobar pigeon,hap1,vgp_hic_2.0,,,,"1,137,493,706",0.481,43,9.5,,,,Linelle Abueg,RU,,,,,,,832,"1,288,891,985","1,549,149.02","79,699,707","93,495,122.80",5,"100,403,915","105,939,148.30",4,"216,431,472","16,521",921,"1,288,874,185","1,399,429.08","25,182,049","33,315,995.51",14,"27,767,878","37,749,770.69",12,"97,706,909","16,521",89,"17,800",200,200,200,45,200,200,"360,355,598:288,801,038:286,824,647:352,892,902",44.66
bCalNic1,Caloenas nicobarica,Caloenas nicobarica,Nicobar pigeon,hap2,vgp_hic_2.0,,,,"1,137,493,706",0.481,43,9.5,,,,Linelle Abueg,RU,,,,,,,251,"1,194,410,030","4,758,605.70","103,777,113","100,501,664.90",4,"103,777,113","105,530,427.07",4,"215,715,690","15,175",337,"1,194,392,830","3,544,192.37","24,693,610","32,016,198.88",15,"24,936,269","33,617,696.69",14,"96,194,259","15,175",86,"17,200",200,200,200,43,200,200,"341,278,255:255,960,437:256,608,765:340,545,373",42.91
bCotChi1,Coturnix chinensis,Coturnix chinensis,king/button quail,hap1,vgp_hic_2.0,,,,"881,685,424",1.12,55,6.1,,,,Linelle Abueg,RU,,,,,,,502,"976,524,492","1,945,267.91","85,711,378","88,422,056.10",4,"85,711,378","97,933,232.27",4,"183,560,827","12,324",803,"976,464,292","1,216,020.29","6,812,677","11,386,984.24",37,"7,735,493","12,611,055.14",31,"56,802,851","12,324",301,"60,200",200,200,200,151,200,200,"285,179,840:202,910,781:203,063,211:285,310,460",41.58
bCotChi1,Coturnix chinensis,Coturnix chinensis,king/button quail,hap2,vgp_hic_2.0,,,,"881,685,424",1.12,55,6.1,,,,Linelle Abueg,RU,,,,,,,232,"967,733,433","4,171,264.80","86,361,426","89,672,933.83",4,"86,361,426","98,424,555.68",4,"183,077,776","17,297",534,"967,673,033","1,812,121.78","7,816,141","12,076,649.67",33,"9,217,317","13,254,441.88",28,"58,689,280","17,297",302,"60,400",200,200,200,151,200,200,"282,544,124:201,434,479:201,505,767:282,188,663",41.64
bDroNov1,Dromaius novaehollandiae,Dromaius novaehollandiae,emu,hap1,vgp_hic_2.0,Y,,,"1,348,917,218",0.319,53,15.3,,,,Linelle Abueg,RU,,,,,,93.55,284,"1,373,349,285","4,835,736.92","85,985,397","94,249,544.95",5,"85,985,397","95,956,626.13",5,"219,529,801","6,032",382,"1,373,329,685","3,595,103.89","24,624,387","25,860,616.01",19,"24,624,387","26,328,636.90",19,"61,638,557","6,032",98,"19,600",200,200,200,49,200,200,"386,670,461:300,064,069:300,340,384:386,254,771",43.72
bDroNov1,Dromaius novaehollandiae,Dromaius novaehollandiae,emu,hap2,vgp_hic_2.0,Y,,,"1,348,917,218",0.319,53,15.3,,,,Linelle Abueg,RU,,,,,,89.91,258,"1,454,598,844","5,637,980.02","71,775,622","89,446,979.61",6,"78,348,880","96,454,750.08",5,"221,257,289","10,771",359,"1,454,578,644","4,051,751.10","21,059,541","23,406,295.07",22,"22,240,736","25,239,723.01",20,"63,738,877","10,771",101,"20,200",200,200,200,51,200,200,"403,021,583:324,157,039:322,152,151:405,247,871",44.43
bGavSte3,Gavia stellata,Gavia stellata,red-throated loon,hap1,vgp_hic_2.0,Y,,,"1,264,858,826",0.398,31,12.2,,,,Linelle Abueg,RU,,,,,,87.15,3209,1412341850,440118.99,44537262,53821170.98,9,50556253,60096740.15,8,133422388,12604,3438,1412296050,410790.01,11686042,13347768.07,37,13162774,14903639.62,31,42160564,12604,229,45800,200,200,200,115,200,200,398807834:308300127:306680831:398507258,43.54
bGavSte3,Gavia stellata,Gavia stellata,red-throated loon,hap2,vgp_hic_2.0,Y,,,"1,264,858,826",0.398,31,12.2,,,,Linelle Abueg,RU,,,,,,92.09,1291,1324199850,1025716.38,50637386,58773691.6,8,63245685,61531067.34,7,128673252,16832,1520,1324154050,871153.98,13765203,15513113.64,31,14018796,16240351.75,29,62764780,16832,229,45800,200,200,200,115,200,200,376053974:285218370:285710752:377170954,43.12
bHelExo1,Heliangelus exortis,Heliangelus exortis,tourmaline sunangel,hap1,vgp_hic_2.0,Y,,,"951,802,150",1.04,27,6.6,,,,Linelle Abueg,RU,,,,,,99.24,135,1034859048,7665622.58,73778810,90505822.82,4,73778810,98403612.18,4,198143620,14374,547,1034776648,1891730.62,8479140,10677851.99,35,9418878,11608706.58,30,31562205,14374,412,82400,200,200,200,206,200,200,302252851:215291733:214867751:302364313,41.57
bHelExo1,Heliangelus exortis,Heliangelus exortis,tourmaline sunangel,hap2,vgp_hic_2.0,Y,,,"951,802,150",1.04,27,6.6,,,,Linelle Abueg,RU,,,,,,97.2,219,984688530,4496294.66,44470594,88171044.39,4,44470594,91217503.65,4,196765160,12145,580,984616330,1697614.36,9824073,10925467.55,32,9888294,11302132.23,31,35422055,12145,361,72200,200,200,200,181,200,200,286242637:206201196:206199734:285972763,41.88
bLatDis1,Lathamus discolor,Lathamus discolor,swift parrot,hap1,vgp_hic_2.0,NA,,,"1,103,550,947",0.794,37,12.5,,,,Linelle Abueg,RU,,,,,,,376,"1,099,351,248","2,923,806.51","127,430,873","112,883,393.19",4,"127,430,873","112,453,801.54",4,"175,363,625","18,672",489,"1,087,431,355","2,223,786.00","21,296,612","26,454,308.76",15,"19,972,387","26,067,890.12",16,"83,097,804","18,672",113,"11,919,893","105,485.78","9,159,829","7,220,688.51",1,"9,159,829",13,"312,045,770:231,760,511:232,155,290:311,469,784",42.66
